date_reported,continent,total_new_cases,total_new_deaths
7/3/2022,island,1755,2
10/18/2020,island,9,0
5/1/2022,island,261,0
6/12/2022,island,101,0
8/7/2022,island,1186,6
4/17/2022,island,68,1
4/24/2022,island,295,0
11/14/2021,island,38,0
12/27/2020,island,6,0
10/17/2021,island,11,0
10/16/2022,island,1022,4
10/23/2022,island,259,0
12/25/2022,island,34,0
11/28/2021,island,323,0
3/6/2022,island,730,0
3/27/2022,island,375,2
10/2/2022,island,4863,2
2/13/2022,island,2005,6
2/21/2021,island,9,0
12/11/2022,island,22,3
9/5/2021,island,7,0
7/10/2022,island,365,0
9/25/2022,island,1361,0
12/5/2021,island,317,2
8/29/2021,island,17,0
11/13/2022,island,232,0
3/14/2021,island,9,0
2/6/2022,island,2267,0
9/11/2022,island,913,2
7/31/2022,island,5289,10
8/21/2022,island,53,1
12/19/2021,island,514,2
4/10/2022,island,150,0
6/5/2022,island,81,0
7/24/2022,island,579,3
12/26/2021,island,471,3
9/4/2022,island,1573,1
11/20/2022,island,153,3
1/9/2022,island,357,3
1/16/2022,island,398,1
